Pref,Class,Monthly,Lower,Upper,保険料_介護保険2号非該当_全額,保険料_介護保険2号非該当_折半額,保険料_介護保険2号該当_全額,保険料_介護保険2号該当_折半額
北海道,1,58000,NA,63000,5922,2961,6850,3425
北海道,2,68000,63000,73000,6943,3471,8031,4015
北海道,3,78000,73000,83000,7964,3982,9212,4606
北海道,4,88000,83000,93000,8985,4492,10393,5196
北海道,5,98000,93000,101000,10006,5003,11574,5787
北海道,6,104000,101000,107000,10618,5309,12282,6141
北海道,7,110000,107000,114000,11231,5616,12991,6496
北海道,8,118000,114000,122000,12048,6024,13936,6968
北海道,9,126000,122000,130000,12865,6432,14881,7440
北海道,10,134000,130000,138000,13681,6841,15825,7913
北海道,11,142000,138000,146000,14498,7249,16770,8385
北海道,12,150000,146000,155000,15315,7658,17715,8858
北海道,13,160000,155000,165000,16336,8168,18896,9448
北海道,14,170000,165000,175000,17357,8678,20077,10038
北海道,15,180000,175000,185000,18378,9189,21258,10629
北海道,16,190000,185000,195000,19399,9700,22439,11220
北海道,17,200000,195000,210000,20420,10210,23620,11810
北海道,18,220000,210000,230000,22462,11231,25982,12991
北海道,19,240000,230000,250000,24504,12252,28344,14172
北海道,20,260000,250000,270000,26546,13273,30706,15353
北海道,21,280000,270000,290000,28588,14294,33068,16534
北海道,22,300000,290000,310000,30630,15315,35430,17715
北海道,23,320000,310000,330000,32672,16336,37792,18896
北海道,24,340000,330000,350000,34714,17357,40154,20077
北海道,25,360000,350000,370000,36756,18378,42516,21258
北海道,26,380000,370000,395000,38798,19399,44878,22439
北海道,27,410000,395000,425000,41861,20931,48421,24211
北海道,28,440000,425000,455000,44924,22462,51964,25982
北海道,29,470000,455000,485000,47987,23994,55507,27754
北海道,30,500000,485000,515000,51050,25525,59050,29525
北海道,31,530000,515000,545000,54113,27057,62593,31297
北海道,32,560000,545000,575000,57176,28588,66136,33068
北海道,33,590000,575000,605000,60239,30120,69679,34840
北海道,34,620000,605000,635000,63302,31651,73222,36611
北海道,35,650000,635000,665000,66365,33182,76765,38382
北海道,36,680000,665000,695000,69428,34714,80308,40154
北海道,37,710000,695000,730000,72491,36246,83851,41926
北海道,38,750000,730000,770000,76575,38288,88575,44288
北海道,39,790000,770000,810000,80659,40330,93299,46650
北海道,40,830000,810000,855000,84743,42372,98023,49012
北海道,41,880000,855000,905000,89848,44924,103928,51964
北海道,42,930000,905000,955000,94953,47477,109833,54917
北海道,43,980000,955000,1005000,100058,50029,115738,57869
北海道,44,1030000,1005000,1055000,105163,52582,121643,60822
北海道,45,1090000,1055000,1115000,111289,55645,128729,64365
北海道,46,1150000,1115000,1175000,117415,58708,135815,67908
北海道,47,1210000,1175000,1235000,123541,61771,142901,71450
北海道,48,1270000,1235000,1295000,129667,64834,149987,74994
北海道,49,1330000,1295000,1355000,135793,67896,157073,78536
北海道,50,1390000,1355000,NA,141919,70960,164159,82080
青森,1,58000,NA,63000,5504,2752,6432,3216
青森,2,68000,63000,73000,6453,3227,7541,3771
青森,3,78000,73000,83000,7402,3701,8650,4325
青森,4,88000,83000,93000,8351,4176,9759,4880
青森,5,98000,93000,101000,9300,4650,10868,5434
青森,6,104000,101000,107000,9870,4935,11534,5767
青森,7,110000,107000,114000,10439,5220,12199,6100
青森,8,118000,114000,122000,11198,5599,13086,6543
青森,9,126000,122000,130000,11957,5979,13973,6987
青森,10,134000,130000,138000,12717,6358,14861,7430
青森,11,142000,138000,146000,13476,6738,15748,7874
青森,12,150000,146000,155000,14235,7118,16635,8318
青森,13,160000,155000,165000,15184,7592,17744,8872
青森,14,170000,165000,175000,16133,8066,18853,9426
青森,15,180000,175000,185000,17082,8541,19962,9981
青森,16,190000,185000,195000,18031,9016,21071,10536
青森,17,200000,195000,210000,18980,9490,22180,11090
青森,18,220000,210000,230000,20878,10439,24398,12199
青森,19,240000,230000,250000,22776,11388,26616,13308
青森,20,260000,250000,270000,24674,12337,28834,14417
青森,21,280000,270000,290000,26572,13286,31052,15526
青森,22,300000,290000,310000,28470,14235,33270,16635
青森,23,320000,310000,330000,30368,15184,35488,17744
青森,24,340000,330000,350000,32266,16133,37706,18853
青森,25,360000,350000,370000,34164,17082,39924,19962
青森,26,380000,370000,395000,36062,18031,42142,21071
青森,27,410000,395000,425000,38909,19454,45469,22734
青森,28,440000,425000,455000,41756,20878,48796,24398
青森,29,470000,455000,485000,44603,22302,52123,26062
青森,30,500000,485000,515000,47450,23725,55450,27725
青森,31,530000,515000,545000,50297,25148,58777,29388
青森,32,560000,545000,575000,53144,26572,62104,31052
青森,33,590000,575000,605000,55991,27996,65431,32716
青森,34,620000,605000,635000,58838,29419,68758,34379
青森,35,650000,635000,665000,61685,30842,72085,36042
青森,36,680000,665000,695000,64532,32266,75412,37706
青森,37,710000,695000,730000,67379,33690,78739,39370
青森,38,750000,730000,770000,71175,35588,83175,41588
青森,39,790000,770000,810000,74971,37486,87611,43806
青森,40,830000,810000,855000,78767,39384,92047,46024
青森,41,880000,855000,905000,83512,41756,97592,48796
青森,42,930000,905000,955000,88257,44128,103137,51568
青森,43,980000,955000,1005000,93002,46501,108682,54341
青森,44,1030000,1005000,1055000,97747,48874,114227,57114
青森,45,1090000,1055000,1115000,103441,51720,120881,60440
青森,46,1150000,1115000,1175000,109135,54568,127535,63768
青森,47,1210000,1175000,1235000,114829,57414,134189,67094
青森,48,1270000,1235000,1295000,120523,60262,140843,70422
青森,49,1330000,1295000,1355000,126217,63108,147497,73748
