"年収","課税所得 (所得税)","課税所得 (住民税)","年金","健康保険","住民税","所得税","消費税","負担合計","手取り額","年収に占める所得・住民税の百分率"
50,0,0,9.662,3.96,0,0,3.638,17.26,36.378,0
51,0,0,9.662,3.96,0,0,3.738,17.36,37.378,0
52,0,0,9.662,3.96,0,0,3.838,17.46,38.378,0
53,0,0,9.662,3.96,0,0,3.938,17.56,39.378,0
54,0,0,9.662,3.96,0,0,4.038,17.66,40.378,0
55,0,0,9.662,3.96,0,0,4.138,17.76,41.378,0
56,0,0,9.662,3.96,0,0,4.238,17.86,42.378,0
57,0,0,9.662,3.96,0,0,4.338,17.96,43.378,0
58,0,0,9.662,3.96,0,0,4.438,18.06,44.378,0
59,0,0,9.662,3.96,0,0,4.538,18.16,45.378,0
60,0,0,9.662,3.96,0,0,4.638,18.26,46.378,0
61,0,0,9.662,3.96,0,0,4.738,18.36,47.378,0
62,0,0,9.662,3.96,0,0,4.838,18.46,48.378,0
63,0,0,9.662,3.96,0,0,4.938,18.56,49.378,0
64,0,0,9.662,3.96,0,0,5.038,18.66,50.378,0
65,0,0,9.662,3.96,0,0,5.138,18.76,51.378,0
66,0,0,9.662,3.96,0,0,5.238,18.86,52.378,0
67,0,0,9.662,3.96,0,0,5.338,18.96,53.378,0
68,0,0,9.662,3.96,0,0,5.438,19.06,54.378,0
69,0,0,9.662,3.96,0,0,5.538,19.16,55.378,0
70,0,0,9.662,3.96,0,0,5.638,19.26,56.378,0
71,0,0,9.662,3.96,0,0,5.738,19.36,57.378,0
72,0,0,9.662,3.96,0,0,5.838,19.46,58.378,0
73,0,0,9.662,3.96,0,0,5.938,19.56,59.378,0
74,0,0,9.662,3.96,0,0,6.038,19.66,60.378,0
75,0,0,9.662,3.96,0,0,6.138,19.76,61.378,0
76,0,0,9.662,4.643,0,0,6.169,20.475,61.695,0
77,0,0,9.662,4.643,0,0,6.269,20.575,62.695,0
78,0,0,9.662,4.643,0,0,6.369,20.675,63.695,0
79,0,0,9.662,4.643,0,0,6.469,20.775,64.695,0
80,0,0,9.662,4.643,0,0,6.569,20.875,65.695,0
81,0,0,9.662,4.643,0,0,6.669,20.975,66.695,0
82,0,0,9.662,4.643,0,0,6.769,21.075,67.695,0
83,0,0,9.662,4.643,0,0,6.869,21.175,68.695,0
84,0,0,9.662,4.643,0,0,6.969,21.275,69.695,0
85,0,0,9.662,4.643,0,0,7.069,21.375,70.695,0
86,0,0,9.662,4.643,0,0,7.169,21.475,71.695,0
87,0,0,9.662,4.643,0,0,7.269,21.575,72.695,0
88,0,0,9.662,5.326,0,0,7.301,22.289,73.012,0
89,0,0,9.662,5.326,0,0,7.401,22.389,74.012,0
90,0,0,9.662,5.326,0,0,7.501,22.489,75.012,0
91,0,0,9.662,5.326,0,0,7.601,22.589,76.012,0
92,0,0,9.662,5.326,0,0,7.701,22.689,77.012,0
